bookTitle,authorName,average_rating,num_ratings,genres
"Lover Enshrined (Black Dagger Brotherhood, #6)",J.R. Ward,4.11,"117,709",Fantasy
"Hex Hall (Hex Hall, #1)",Rachel Hawkins,3.93,"141,517",Science Fiction
Anansi Boys,Neil Gaiman,4.04,"222,868",Fantasy
Lock and Key,Sarah Dessen,4.0,"149,978",Philosophy
"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,4.58,"433,125",Young Adult
The Communist Manifesto,Karl Marx,3.65,"165,998",Fiction
"Point of Retreat (Slammed, #2)",Colleen Hoover,4.14,"240,241",Thriller
Journey to the Center of the Earth,Jules Verne,3.85,"200,960",Fantasy
Alias Grace,Margaret Atwood,4.04,"143,874",Thriller
A Scanner Darkly,Philip K. Dick,4.02,"102,292",Self-Help
Giovanni’s Room,James Baldwin,4.32,"158,387",Historical
"Storm Front (The Dresden Files, #1)",Jim Butcher,3.98,"352,054",Romance
Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth,Steve Snyder,4.21,"8,501",Romance
"Illuminae (The Illuminae Files, #1)",Amie Kaufman,4.24,"152,124",Science Fiction
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,4.07,"270,541",Fantasy
Timeline,Michael Crichton,3.87,"206,769",Philosophy
The V Girl: A Coming of Age Story,Mya Robarts,3.99,"15,748",Self-Help
A River Runs Through It and Other Stories,Norman Maclean,4.18,"27,380",Poetry
Invisible Cities,Italo Calvino,4.11,"84,143",Horror
Ubik,Philip K. Dick,4.11,"108,393",Biography
"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,4.29,"49,433",Thriller
Outliers: The Story of Success,Malcolm Gladwell,4.19,"788,367",Thriller
"Legendborn (The Legendborn Cycle, #1)",Tracy Deonn,4.35,"135,851",Poetry
"The Indigo Spell (Bloodlines, #3)",Richelle Mead,4.36,"103,291",Nonfiction
"The Iron Queen (The Iron Fey, #3)",Julie Kagawa,4.2,"106,547",Fantasy
"Jaws (Jaws, #1)",Peter Benchley,3.96,"162,866",Biography
No Longer Human,Osamu Dazai,4.0,"160,681",Fantasy
Maus I: Un Survivant Raconte: Mon Père Saigne L'histoire,Art Spiegelman,4.38,"335,053",Fantasy
The Kitchen God's Wife,Amy Tan,4.03,"84,486",Mystery
The Tale of Despereaux,Kate DiCamillo,4.07,"199,568",Adventure
"Memnoch the Devil (The Vampire Chronicles, #5)",Anne Rice,3.76,"82,360",Adventure
The Color of Water: A Black Man's Tribute to His White Mother,James   McBride,4.13,"124,062",Self-Help
Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.24,"1,232,607",Adventure
Les Fleurs du Mal,Charles Baudelaire,4.2,"71,534",Romance
"The Winds of War (The Henry Family, #1)",Herman Wouk,4.38,"57,126",Science Fiction
Lunar Park,Bret Easton Ellis,3.65,"28,818",Science Fiction
The Polymorph,Max Nowaz,4.29,"5,291",Young Adult
"Go, Dog. Go!",P.D. Eastman,4.14,"91,886",Horror
"Practical Magic (Practical Magic, #1)",Alice Hoffman,3.73,"133,661",Historical
"The Throne of Fire (The Kane Chronicles, #2)",Rick Riordan,4.19,"209,478",Historical
"The Blade Itself (The First Law, #1)",Joe Abercrombie,4.21,"248,182",Graphic Novel
"Across the Universe (Across the Universe, #1)",Beth Revis,3.77,"117,942",Adventure
Brave New World / Brave New World Revisited,Aldous Huxley,4.16,"165,367",Biography
"The Spy Who Came In from the Cold (George Smiley, #3)",John le Carré,4.08,"110,407",Philosophy
"Nightshade (Nightshade, #1; Nightshade World, #4)",Andrea Cremer,4.01,"83,390",Young Adult
"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,4.4,"124,410",Fantasy
The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,4.2,"94,989",Historical
Till We Have Faces,C.S. Lewis,4.19,"70,351",Thriller
The Forty Rules of Love,Elif Shafak,4.13,"177,599",Nonfiction
"Rules of Attraction (Perfect Chemistry, #2)",Simone Elkeles,4.18,"88,002",Mystery
"To Live and Die in Fantasyland (To Live, #3)",Ben Peller,4.33,101,Horror
The Tin Drum,Günter Grass,3.95,"44,138",Nonfiction
"Cry Wolf (Alpha & Omega, #1)",Patricia Briggs,4.12,"103,591",Horror
Chronicle of a Death Foretold,Gabriel García Márquez,3.97,"194,492",Thriller
A Town Like Alice,Nevil Shute,4.15,"58,110",Mystery
"Evernight (Evernight, #1)",Claudia Gray,3.65,"80,572",Self-Help
"Pretty Little Liars (Pretty Little Liars, #1)",Sara Shepard,3.85,"204,106",Young Adult
"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,4.17,"233,778",Mystery
"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,4.54,"489,969",Science Fiction
Notes from Underground,Fyodor Dostoevsky,4.18,"162,195",Science Fiction
Twenty Love Poems and a Song of Despair,Pablo Neruda,4.22,"72,699",Self-Help
"Origin (Lux, #4)",Jennifer L. Armentrout,4.33,"112,743",Mystery
For One More Day,Mitch Albom,4.12,"148,336",Mystery
The Tenant of Wildfell Hall,Anne Brontë,4.01,"116,324",Thriller
"School's Out—Forever (Maximum Ride, #2)",James Patterson,4.14,"121,222",Fiction
"Tropic of Cancer (Tropic, #1)",Henry Miller,3.66,"72,478",Adventure
"Awakened (House of Night, #8)",P.C. Cast,4.0,"138,125",Science Fiction
"On Dublin Street (On Dublin Street, #1)",Samantha Young,4.16,"198,737",Poetry
Beach Read,Emily Henry,4.01,"1,118,788",Philosophy
Lust for Life,Irving Stone,4.26,"28,943",Fantasy
"Fall of Giants (The Century Trilogy, #1)",Ken Follett,4.31,"323,780",Nonfiction
"Saving the World and Other Extreme Sports (Maximum Ride, #3)",James Patterson,4.14,"94,456",Graphic Novel
"The Valley of Horses (Earth's Children, #2)",Jean M. Auel,4.03,"89,782",Self-Help
The Pelican Brief,John Grisham,4.05,"429,264",Historical
Fall on Your Knees,Ann-Marie MacDonald,3.97,"66,335",Romance
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.2,"2,547,108",Adventure
"The Iron Daughter (The Iron Fey, #2)",Julie Kagawa,4.07,"126,772",Thriller
"Half-Blood (Covenant, #1)",Jennifer L. Armentrout,4.1,"103,774",Nonfiction
When Breath Becomes Air,Paul Kalanithi,4.4,"671,829",Science Fiction
Tales of H.P. Lovecraft,H.P. Lovecraft,4.23,"9,361",Science Fiction
Empire Falls,Richard Russo,3.94,"121,902",Nonfiction
Out of My Mind (The Out of My Mind Series),Sharon M. Draper,4.35,"161,052",Romance
"Bloodfever (Fever, #2)",Karen Marie Moning,4.25,"108,875",Biography
"The False Prince (Ascendance, #1)",Jennifer A. Nielsen,4.23,"96,609",Science Fiction
Solaris,Stanisław Lem,3.99,"108,168",Mystery
Scavenger Hunt,Chad Boudreaux,4.3,"7,105",Historical
"Girl, Interrupted",Susanna Kaysen,3.93,"244,998",Fiction
"This Present Darkness (Darkness, #1)",Frank E. Peretti,4.24,"107,754",Science Fiction
Before I Go to Sleep,S.J. Watson,3.9,"339,964",Fiction
"The Angel's Game (The Cemetery of Forgotten Books, #2)",Carlos Ruiz Zafón,4.0,"162,812",Science Fiction
The Illustrated Man,Ray Bradbury,4.13,"98,547",Nonfiction
milk and honey,Rupi Kaur,3.98,"729,935",Science Fiction
"Blue Moon (The Immortals, #2)",Alyson Noel,3.61,"96,872",Historical
"Anne of the Island (Anne of Green Gables, #3)",L.M. Montgomery,4.27,"174,114",Fiction
"Matching Configurations (Quantum Roots, #3)",Kyle Keyes,4.3,"6,892",Adventure
"The Dragon Reborn (The Wheel of Time, #3)",Robert Jordan,4.27,"290,915",Romance
The Red and the Black,Stendhal,3.87,"75,226",Mystery
Year of Wonders,Geraldine Brooks,4.01,"162,672",Horror
"The Way of Shadows (Night Angel, #1)",Brent Weeks,4.15,"168,516",Horror
"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha    Shannon,4.2,"204,253",Mystery
Quo Vadis,Henryk Sienkiewicz,4.01,"37,995",Fiction
"Skagboys (Mark Renton, #1)",Irvine Welsh,4.05,"16,354",Romance
Mother Night,Kurt Vonnegut Jr.,4.23,"95,079",Historical
"Stones from the River (Burgdorf Cycle, #1)",Ursula Hegi,4.09,"95,440",Philosophy
City of Thieves,David Benioff,4.29,"150,246",Self-Help
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,4.07,"302,232",Fantasy
Reminders of Him,Colleen Hoover,4.38,"1,209,585",Mystery
"The Celestine Prophecy (Celestine Prophecy, #1)",James Redfield,3.71,"114,476",Self-Help
The Rescue,Nicholas Sparks,4.12,"202,696",Romance
"Magic Bites (Kate Daniels, #1)",Ilona Andrews,4.06,"125,909",Biography
November 9,Colleen Hoover,4.14,"1,086,996",Philosophy
The Raven and Other Poems,Edgar Allan Poe,4.3,"45,040",Graphic Novel
"Switched (Trylle, #1)",Amanda Hocking,3.87,"99,971",Mystery
"The Time Quartet Box Set (Time Quartet, #1-4)",Madeleine L'Engle,4.35,"11,214",Thriller
Cujo,Stephen King,3.78,"286,245",Horror
"A Dirty Job (Grim Reaper, #1)",Christopher Moore,4.03,"118,996",Fiction
"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",Abbi Glines,4.15,"172,329",Philosophy
I'm Just Saying: The Art of Civil Discourse: A Guide to Maintaining Courteous Communication in an Increasingly Divided World,Milan Kordestani,4.27,"7,383",Historical
"The Dream Thieves (The Raven Cycle, #2)",Maggie Stiefvater,4.22,"201,401",Self-Help
"Naked in Death (In Death, #1)",J.D. Robb,4.13,"193,101",Adventure
"Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey,4.02,"80,253",Graphic Novel
The Selfish Gene,Richard Dawkins,4.15,"178,669",Horror
The Alchemy Fire Murder: a Mary Wandwalker Mystery,Susan  Rowland,4.3,"8,371",Biography
"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",Jeff Kinney,3.98,"696,368",Young Adult
The Tale of Genji,Murasaki Shikibu,3.73,"13,389",Poetry
A Gentleman in Moscow,Amor Towles,4.33,"547,479",Fantasy
"Inkspell (Inkworld, #2)",Cornelia Funke,3.94,"127,634",Mystery
The Decameron,Giovanni Boccaccio,3.88,"40,096",Fantasy
Weaveworld,Clive Barker,4.13,"32,378",Fantasy
Black Fire,William Kely McClung,4.3,"5,481",Historical
Harriet the Spy,Louise Fitzhugh,3.95,"99,463",Self-Help
"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",Michael Scott,3.86,"160,299",Adventure
طفيليات,أحمد جمال الدين رمضان,4.57,660,Self-Help
Hearts in Atlantis,Stephen King,3.85,"96,069",Philosophy
On the Jellicoe Road,Melina Marchetta,4.12,"50,516",Historical
"Fifty Shades Trilogy (Fifty Shades, #1-3)",E.L. James,4.11,"127,428",Graphic Novel
"Destined for an Early Grave (Night Huntress, #4)",Jeaniene Frost,4.32,"85,204",Historical
Kindred,Octavia E. Butler,4.3,"219,379",Young Adult
مصرائيل,أحمد جمال الدين رمضان,4.73,658,Fantasy
"Forever (The Wolves of Mercy Falls, #3)",Maggie Stiefvater,3.89,"123,930",Philosophy
مشاغب,أحمد جمال الدين رمضان,4.57,659,Graphic Novel
"The Archon of Peace (Sovereign, #1)",Juddy Anderson C. Punzalan,4.56,370,Thriller
Hawaii,James A. Michener,4.21,"78,760",Mystery
The Satanic Verses,Salman Rushdie,3.71,"65,853",Fantasy
"The Evolution of Mara Dyer (Mara Dyer, #2)",Michelle Hodkin,4.25,"98,749",Young Adult
The Choice,Nicholas Sparks,4.01,"184,424",Poetry
"The Complete Anne of Green Gables (Anne of Green Gables, #1-8)",L.M. Montgomery,4.45,"105,159",Mystery
Nights in Rodanthe,Nicholas Sparks,3.85,"172,724",Mystery
Five Feet Apart,Rachael Lippincott,4.18,"225,730",Fantasy
"Garden Spells (Waverley Family, #1)",Sarah Addison Allen,4.07,"101,012",Historical
Batman: The Dark Knight Returns,Frank Miller,4.26,"187,130",Adventure
"The Beekeeper's Apprentice (Mary Russell and Sherlock Holmes, #1)",Laurie R. King,4.05,"83,162",Graphic Novel
"The Poppy War (The Poppy War, #1)",R.F. Kuang,4.17,"264,300",Biography
"The Gormenghast Novels (Gormenghast, #1-3)",Mervyn Peake,4.02,"9,443",Biography
Big Little Lies,Liane Moriarty,4.31,"1,008,844",Philosophy
Mere Christianity,C.S. Lewis,4.35,"414,507",Philosophy
Games of Command,Linnea Sinclair,4.03,"3,407",Romance
Exotic Neurotic,Kenneth Jarrett Singleton,3.7,"2,300",Biography
"Counter Identity (Remmich/Miller, #2)",Karl Braungart,4.3,"6,191",Historical
The End of the Affair,Graham Greene,3.9,"64,690",Young Adult
The Quiet American,Graham Greene,3.97,"63,471",Mystery
Dark Voyage Matters of the Mind (The Children of the Gods #78),I.T. Lucas,4.55,"2,337",Horror
A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,4.15,"201,136",Horror
Hopscotch,Julio Cortázar,4.21,"42,981",Science Fiction
"Starcrossed (Starcrossed, #1)",Josephine Angelini,4.05,"73,243",Thriller
The Silver Linings Playbook,Matthew Quick,3.98,"159,050",Graphic Novel
"The Winter King (The Warlord Chronicles, #1)",Bernard Cornwell,4.26,"49,071",Fantasy
"The Deal (Off-Campus, #1)",Elle Kennedy,4.24,"727,394",Fiction
Burned Out,Dean Mafako,4.3,"5,563",Mystery
The Complete Fairy Tales,Hans Christian Andersen,4.29,"107,087",Thriller
"Night World, No. 2 (Night World, #4-6)",L.J. Smith,4.2,"59,248",Romance
Where the Sidewalk Ends,Shel Silverstein,4.34,"1,406,103",Thriller
White Teeth,Zadie Smith,3.79,"157,898",Mystery
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,3.95,"761,866",Philosophy
"Sweet Evil (Sweet, #1)",Wendy Higgins,4.08,"77,024",Historical
Haunted,Chuck Palahniuk,3.6,"104,479",Nonfiction
The Red Badge of Courage,Stephen Crane,3.29,"104,472",Fiction
Dolores Claiborne,Stephen King,3.92,"153,809",Philosophy
"Losing Hope (Hopeless, #2)",Colleen Hoover,4.15,"223,127",Philosophy
"Ral's Woman (Zorn Warriors, #1)",Laurann Dohner,3.82,"14,401",Young Adult
The Glass Bead Game,Hermann Hesse,4.1,"38,765",Philosophy
"The School for Good and Evil (The School for Good and Evil, #1)",Soman Chainani,3.99,"119,329",Nonfiction
Black Like Me,John Howard Griffin,4.11,"68,026",Nonfiction
"Ice Planet Barbarians (Ice Planet Barbarians, #1)",Ruby Dixon,3.65,"141,042",Horror
The Accidental Tourist,Anne Tyler,3.9,"104,953",Young Adult
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,4.15,"577,279",Poetry
Memoirs of Hadrian,Marguerite Yourcenar,4.23,"29,813",Romance
The Death of Ivan Ilych,Leo Tolstoy,4.13,"165,067",Fantasy
A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,4.16,"187,096",Historical
The Four Agreements,Miguel Ruiz,4.19,"401,847",Philosophy
"These Violent Delights (These Violent Delights, #1)",Chloe Gong,3.84,"144,640",Romance
"Wait for You (Wait for You, #1)",J. Lynn,4.14,"164,111",Philosophy
Rant: An Oral Biography of Buster Casey,Chuck Palahniuk,3.84,"67,239",Science Fiction
"Inkdeath (Inkworld, #3)",Cornelia Funke,3.97,"87,679",Poetry
"Claimed (Brides of the Kindred, #1)",Evangeline Anderson,3.78,"20,168",Biography
Brainwalker,Robyn Mundell,4.32,"9,611",Poetry
"Tinker, Tailor, Soldier, Spy (George Smiley, #5; Karla Trilogy, #1)",John le Carré,4.06,"94,782",Fiction
Hiroshima,John Hersey,4.03,"80,579",Biography
"Elantris (Elantris, #1)",Brandon Sanderson,4.18,"272,339",Adventure
"Stolen (Stolen, #1)",Lucy Christopher,3.89,"83,008",Self-Help
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.0,"815,424",Horror
Bastard Out of Carolina,Dorothy Allison,4.13,"44,703",Philosophy
"Effortless (Thoughtless, #2)",S.C. Stephens,4.35,"115,873",Thriller
The Day of the Jackal,Frederick Forsyth,4.27,"134,397",Romance
"Love, Rosie",Cecelia Ahern,3.94,"132,255",Adventure
If You Give a Mouse a Cookie,Laura Joffe Numeroff,4.28,"297,828",Fantasy
"The Wishing Spell (The Land of Stories, #1)",Chris Colfer,4.25,"142,099",Nonfiction
Boy's Life,Robert McCammon,4.39,"35,119",Young Adult
"An Echo in the Bone (Outlander, #7)",Diana Gabaldon,4.44,"153,081",Self-Help
Metamorphoses,Ovid,4.09,"71,443",Nonfiction
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,4.44,"132,661",Philosophy
Station Eleven,Emily St. John Mandel,4.07,"520,184",Biography
"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,4.09,"340,985",Horror
"Perdido Street Station (New Crobuzon, #1)",China Miéville,3.98,"70,076",Science Fiction
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,3.49,"1,022,978",Fantasy
Old Yeller,Fred Gipson,4.1,"98,258",Graphic Novel
Zorba the Greek,Nikos Kazantzakis,4.05,"51,668",Romance
"Cross My Heart and Hope to Spy (Gallagher Girls, #2)",Ally Carter,4.13,"90,883",Romance
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.06,"799,048",Self-Help
The Sky Is Everywhere,Jandy Nelson,3.96,"106,127",Philosophy
The Great Alone,Kristin Hannah,4.42,"792,700",Historical
"Reaper Man (Discworld, #11; Death, #2)",Terry Pratchett,4.28,"102,177",Philosophy
"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,4.53,"211,726",Biography
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.03,"321,889",Graphic Novel
"The Spanish Love Deception (Spanish Love Deception, #1)",Elena  Armas,3.83,"685,859",Self-Help
Imajica,Clive Barker,4.17,"23,238",Philosophy
The Sacred Well Murders,Susan  Rowland,4.3,"5,750",Biography
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,4.24,"184,754",Romance
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.15,"367,897",Mystery
The Heart of Aleppo: A Story of the Syrian Civil War,Ammar Habib,4.4,"7,678",Fiction
"Trials of Conviction (The Firebird Chronicles, #5)",T.A. White,4.54,"3,187",Mystery
"The Waste Lands (The Dark Tower, #3)",Stephen King,4.25,"223,315",Poetry
Ragtime,E.L. Doctorow,3.89,"43,821",Fantasy
Villette,Charlotte Brontë,3.77,"73,303",Fantasy
"Love is the Answer, God is the Cure: A True Story of Abuse, Betrayal and Unconditional Love",Aimee Cabo Nikolov,4.3,"17,252",Biography
"Noughts & Crosses (Noughts & Crosses, #1)",Malorie Blackman,4.19,"74,205",Historical
The Miraculous Journey of Edward Tulane,Kate DiCamillo,4.38,"109,741",Fiction
"The Serpent's Shadow (The Kane Chronicles, #3)",Rick Riordan,4.28,"163,650",Mystery
"Under the Never Sky (Under the Never Sky, #1)",Veronica Rossi,3.99,"114,187",Graphic Novel
1984,George Orwell,4.19,"4,617,941",Mystery
"Gilead (Gilead, #1)",Marilynne Robinson,3.85,"110,677",Mystery
"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,4.14,"354,997",Graphic Novel
"Three Men in a Boat (Three Men, #1)",Jerome K. Jerome,3.84,"72,821",Fiction
The French Lieutenant’s Woman,John Fowles,3.88,"53,017",Thriller
"The Princess Diaries (The Princess Diaries, #1)",Meg Cabot,3.8,"254,674",Mystery
Demons,Fyodor Dostoevsky,4.3,"52,259",Thriller
El Diablo,M.  Robinson,3.98,"12,998",Horror
"Skulduggery Pleasant (Skulduggery Pleasant, #1)",Derek Landy,4.18,"66,871",Philosophy
The Book of Disquiet: The Complete Edition,Fernando Pessoa,4.41,"30,856",Mystery
Who Moved My Cheese?,Spencer Johnson,3.86,"473,266",Self-Help
The Virgins of Venice,Gina Buonaguro,4.26,"5,738",Nonfiction
The Thief Lord,Cornelia Funke,3.98,"97,765",Horror
Just So Stories,Rudyard Kipling,4.06,"48,169",Biography
The Blue Castle,L.M. Montgomery,4.3,"44,436",Historical
"Beautiful Darkness (Caster Chronicles, #2)",Kami Garcia,3.83,"137,096",Nonfiction
"The 100-Year-Old Man Who Climbed Out the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,3.82,"277,712",Biography
"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,4.16,"90,029",Adventure
"The Sandman, Vol. 1: Preludes & Nocturnes",Neil Gaiman,4.25,"264,752",Adventure
"Born at Midnight (Shadow Falls, #1)",C.C. Hunter,4.1,"92,123",Adventure
Making Faces,Amy Harmon,4.3,"75,421",Thriller
The Diving Bell and the Butterfly,Jean-Dominique Bauby,3.98,"72,479",Young Adult
Ham on Rye,Charles Bukowski,4.14,"106,374",Philosophy
Tell No One,Harlan Coben,4.08,"162,247",Biography
Cat’s Eye,Margaret Atwood,3.94,"68,407",Self-Help
"Halo (Halo, #1)",Alexandra Adornetto,3.66,"69,251",Poetry
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.08,"436,438",Thriller
"The Immortal Rules (Blood of Eden, #1)",Julie Kagawa,4.07,"70,667",Poetry
What Is the What,Dave Eggers,4.14,"84,828",Horror
I Am Legend,Richard Matheson,4.06,"132,486",Science Fiction
"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",Rick Riordan,4.24,"215,250",Fiction
Dead Souls,Nikolai Gogol,3.98,"85,263",Romance
"Max (Maximum Ride, #5)",James Patterson,4.06,"74,298",Adventure
Magenta,John Payton Foden,4.26,"5,079",Thriller
The White Tiger,Aravind Adiga,3.76,"191,940",Fiction
"Desert Outcast (Sovereign, #0.5)",Juddy Anderson C. Punzalan,4.6,301,Thriller
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 1,Mò Xiāng Tóng Xiù,4.64,"26,861",Nonfiction
"River God (Ancient Egypt, #1)",Wilbur Smith,4.22,"40,775",Thriller
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,3.73,"21,812",Science Fiction
"Rich Dad, Poor Dad",Robert T. Kiyosaki,4.12,"622,168",Biography
Malibu Rising,Taylor Jenkins Reid,4.04,"1,025,936",Adventure
An Accidental Goddess,Linnea Sinclair,4.02,"3,784",Young Adult
An American Tragedy,Theodore Dreiser,3.96,"36,895",Horror
"The Shadow Rising (The Wheel of Time, #4)",Robert Jordan,4.28,"234,142",Romance
"Old Man's War (Old Man's War, #1)",John Scalzi,4.24,"197,472",Thriller
"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer,4.08,"92,106",Romance
"Rapture (Fallen, #4)",Lauren Kate,3.99,"119,091",Romance
"If Tomorrow Comes (Tracy Whitney, #1)",Sidney Sheldon,4.07,"67,657",Young Adult
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,4.21,"134,023",Self-Help
"The Great Hunt (The Wheel of Time, #2)",Robert Jordan,4.26,"318,816",Horror
From Manchester to the Arctic,Sheena  Billett,4.31,"6,072",Horror
The Art of Happiness,Dalai Lama XIV,4.17,"117,024",Self-Help
"The Burning God (The Poppy War, #3)",R.F. Kuang,4.31,"88,479",Fiction
"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,4.43,"126,494",Poetry
The Epic of Gilgamesh,Anonymous,3.71,"94,776",Thriller
"The Forever War (The Forever War, #1)",Joe Haldeman,4.14,"166,667",Horror
"Monsters of Men (Chaos Walking, #3)",Patrick Ness,4.22,"86,079",Poetry
"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,3.88,"581,918",Poetry
"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,3.82,"610,096",Romance
"Ink Exchange (Wicked Lovely, #2)",Melissa Marr,3.69,"62,455",Biography
Punk 57,Penelope Douglas,3.78,"418,852",Mystery
Think and Grow Rich,Napoleon Hill,4.18,"330,936",Philosophy
"Extras (Uglies, #4)",Scott Westerfeld,3.6,"119,562",Young Adult
Fantastic Beasts and Where to Find Them,Newt Scamander,3.96,"401,056",Historical
"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,4.22,"418,206",Mystery
"The Book of Lost Things (The Book of Lost Things, #1)",John Connolly,3.96,"80,145",Romance
Darkness at Noon,Arthur Koestler,4.11,"30,712",Adventure
"Being a Witch, and Other Things I Didn't Ask for",Sara Pascoe,4.29,"5,107",Graphic Novel
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.48,"1,579,259",Horror
"Cheaper by the Dozen (Cheaper by the Dozen, #1)",Frank B. Gilbreth Jr.,3.99,"43,134",Thriller
Labyrinths: Selected Stories & Other Writings,Jorge Luis Borges,4.45,"31,754",Science Fiction
"Hollow City (Miss Peregrine's Peculiar Children, #2)",Ransom Riggs,4.06,"239,052",Young Adult
"The Evening and the Morning (Kingsbridge, #0)",Ken Follett,4.39,"110,166",Adventure
"Don't Judge a Girl by Her Cover (Gallagher Girls, #3)",Ally Carter,4.2,"71,963",Adventure
"Iron Kissed (Mercy Thompson, #3)",Patricia Briggs,4.34,"124,582",Fantasy
The Children of Húrin,J.R.R. Tolkien,4.03,"83,840",Biography
"Glass Sword (Red Queen, #2)",Victoria Aveyard,3.8,"361,082",Philosophy
Christine,Stephen King,3.84,"242,518",Historical
"The Sword of Shannara (The Original Shannara Trilogy, #1)",Terry Brooks,3.76,"96,755",Historical
Aesop’s Fables,Aesop,4.05,"125,743",Poetry
The Winter of Our Discontent,John Steinbeck,4.0,"48,146",Biography
Long Walk to Freedom,Nelson Mandela,4.35,"87,092",Fantasy
"The Fury / Dark Reunion (The Vampire Diaries, #3-4)",L.J. Smith,3.72,"60,959",Fantasy
Loveless,Alice Oseman,4.21,"101,531",Philosophy
"Ruin and Rising (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,3.99,"524,071",Romance
"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,4.12,"166,499",Thriller
"Polaris Rising (Consortium Rebellion, #1)",Jessie Mihalik,3.92,"13,466",Historical
"Dark Horse (Class 5, #1)",Michelle Diener,4.09,"8,276",Historical
Can You Keep a Secret?,Sophie Kinsella,3.84,"440,803",Graphic Novel
Just Kids,Patti Smith,4.21,"282,150",Science Fiction
Fathers and Sons,Ivan Turgenev,3.99,"89,762",Young Adult
"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",Laini Taylor,4.14,"163,841",Thriller
This is How You Lose the Time War,Amal El-Mohtar,3.91,"209,201",Historical
Flipped,Wendelin Van Draanen,3.98,"117,591",Fantasy
Freedom,Jonathan Franzen,3.78,"168,614",Young Adult
"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,3.9,"157,475",Thriller
The Moonstone,Wilkie Collins,3.91,"93,268",Fantasy
The Sun Is Also a Star,Nicola Yoon,3.97,"329,828",Young Adult
People of the Book,Geraldine Brooks,4.03,"146,193",Science Fiction
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,4.27,"201,648",Biography
"The Warded Man (The Demon Cycle, #1)",Peter V. Brett,4.25,"123,929",Philosophy
Down and Out in Paris and London,George Orwell,4.09,"88,211",Adventure
China Blues,Ki Longfellow,4.15,"1,590",Graphic Novel
Paradox Effect: Time Travel and Purified DNA Merge to Halt the Collapse of Human Existence,Gabriel F.W. Koch,4.33,"10,197",Science Fiction
After Dark,Haruki Murakami,3.74,"163,564",Science Fiction
