title,author,genre,publication_year,isbn
Lady Maybe,Julie Klassen,Romance,0,425282074
Stars in Your Eyes,Lynn Kurland,Romance,0,515156159
The Night Circus,Erin Morgenstern,Romance,0,385534639
A Hundred Summers,Beatriz Williams,Romance,0,425270033
The White Queen (The Cousins' War),Philippa Gregory,Romance,0,1476735484
North and South (Penguin Classics),Elizabeth Gaskell,Romance,0,140434240
Silent Melody,Mary Balogh,Romance,0,451469712
The Bronze Horseman,Paullina Simons,Romance,0,006185414X
My American Duchess,Eloisa James,Romance,0,62389432
Sense and Sensibility (Penguin Classics),Jane Austen,Romance,0,141439661
The White Princess (Cousins' War),Philippa Gregory,Romance,0,145162610X
By Winter's Light (Cynster Novels),Stephanie Laurens,Romance,0,077831765X
The Complete Novels of Jane Austen (Knickerbocker Classics),Jane Austen,Romance,0,193799418X
The Other Boleyn Girl,Philippa Gregory,Romance,0,743227441
Daniel's True Desire (True Gentlemen),Grace Burrowes,Romance,0,1492621056
A Desperate Fortune,Susanna Kearsley,Romance,0,1492602027
The Thorn Birds,Colleen McCullough,Romance,0,380018179
The Painter's Daughter,Julie Klassen,Romance,0,764210726
Only a Promise (Survivor's Club),Mary Balogh,Romance,0,451469674
Doing No Harm,Carla Kelly,Romance,0,1462117384
Tiny Little Thing,Beatriz Williams,Romance,0,399171304
The Striker (Highland Guard),Monica McCarty,Romance,0,1501108700
Heartless,Mary Balogh,Romance,0,451469739
Simply Anna (Regency Romance),Jennifer Moore,Romance,0,1680473646
The Brothers Karamazov (Dover Thrift Editions),Fyodor Dostoyevsky,Romance,0,486437914
Othello,William Shakespeare,Romance,0,150848046X
The Last Summer at Chelsea Beach,Pam Jenoff,Romance,0,778317544
The Lost Heiress (Ladies of the Manor),Roseanna M. White,Romance,0,764213504
Not by Sight,Kate Breslin,Romance,0,764211617
The Winter Rose,Jennifer Donnelly,Romance,0,1401307469
The Star Garden (Sarah Prine),Nancy E. Turner,Romance,0,312363176
Rainwater,Sandra Brown,Romance,0,1439192928
The Kommandant's Girl,Pam Jenoff,Romance,0,778323420
A Star for Mrs. Blake,April Smith,Romance,0,307948803
The Wild Rose,Jennifer Donnelly,Romance,0,1401307477
Twice in a Lifetime,Dorothy Garlock,Romance,0,1455527270
Tripwire (A Jack Reacher Novel),Lee Child,Romance,0,141043009X
The Winter Guest,Pam Jenoff,Romance,0,778315967
The Soldier's Wife,Margaret Leroy,Romance,0,1401341705
The Saints of Lost Things,C H Lawler,Romance,0,1505212847
The Gates of Rutherford,Elizabeth Cooke,Romance,0,425277194
In Perfect Time (Wings of the Nightingale),Sarah Sundin,Romance,0,800720830
Lord of Scoundrels,Loretta Chase,Romance,0,380776162
Snow on the Tulips,Liz Tolsma,Romance,0,1401689108
Doctor Zhivago (Everyman's Library),Boris Pasternak,Romance,0,679407596
Flame Tree Road,Shona Patel,Romance,0,778316653
The Flying Circus,Susan Crandall,Romance,0,1476772142
The Gift,Julie Garwood,Romance,0,671702505
Night of a Thousand Stars,Deanna Raybourn,Romance,0,778317757
Return to Me,Carolyn Menke,Romance,0,1509203141
Irish Meadows (Courage to Dream),Susan Anne Mason,Romance,0,764217240
On Wings of the Morning,Marie Bostwick,Romance,0,758222564
The Last Summer,Judith Kinghorn,Romance,0,451416635
Madame Picasso,Anne Girard,Romance,0,778316351
Once upon a Mulberry Field,C. L. Hoang,Romance,0,989975673
The Italian Wife,Kate Furnivall,Romance,0,425281388
A Kestrel Rising,S A Laybourn,Romance,0,1784308161
The Reluctant Duchess (Ladies of the Manor),Roseanna M. White,Romance,0,764213512
"A Passion Most Pure (Daughters of Boston, Book 1)",Julie Lessman,Romance,0,800732111
The Day the Falls Stood Still (Voice),Cathy Marie Buchanan,Romance,0,1401341365
The Things We Cherished,Pam Jenoff,Romance,0,307742423
The Diplomat's Wife,Pam Jenoff,Romance,0,778325121
The Golden Hour,Margaret Wurtele,Romance,0,451237080
Remember the Lilies,Liz Tolsma,Romance,0,1401689140
"Little Man, What Now?",Hans Fallada,Romance,0,1933633646
The Russian Concubine,Kate Furnivall,Romance,0,042521558X
21 Aldgate,Patricia Friedberg,Romance,0,1568251246
The Downstairs Maid,Rosie Clarke,Romance,0,B00S8J76QQ
A Distant Melody  (Wings of Glory),Sarah Sundin,Romance,0,800734211
Escaping Yesterday,Pamela Nowak,Romance,0,1432831046
Mistress of Mellyn,Victoria Holt,Romance,0,312384157
The Abyss (Morland Dynasty),Cynthia Harrod-Eagles,Romance,0,751517453
Sins of Omission,Fern Michaels,Romance,0,1420111531
By Starlight,Dorothy Garlock,Romance,0,446540102
Wolf Among Wolves,Hans Fallada,Romance,0,1933633921
Autumn Spring,Shelley Thrasher,Romance,0,1626393656
La casa de Riverton (Spanish Edition),Kate Morton,Romance,0,8466325069
The Artichoke Queen,Owen Duffy,Romance,0,1604891580
The Benevent Treasure,Patricia Wentworth,Romance,0,B00I9HEBJ2
The Enchanted April,Elizabeth Von Arnim,Romance,0,1517188989
A Sorceress of His Own (The Gifted Ones) (Volume 1),Dianne Duvall,Romance,0,986417114
The Red Wolf's Prize (Medieval Warriors Book 1),Regan Walker,Romance,0,615978142
Twice Upon a Kiss,Jane Susann MacCarter,Romance,0,1623421934
The Wedding Shroud (A Tale of Ancient Rome),Elisabeth Storrs,Romance,0,1477828559
"An Ancient Strife (Caledonia Series, Book 2)",Michael Phillips,Romance,0,076422218X
The Greek Alexander Romance (Penguin Classics),Richard Stoneman,Romance,0,140445609
The Golden Dice (A Tale of Ancient Rome),Elisabeth Storrs,Romance,0,1477828567
Lespada,Kathryn Le Veque,Romance,0,B00L2DY384
It Sleeps in Me (In Me Series),Kathleen O'Neal Gear,Romance,0,765314150
The General's Horsewoman,Carol DeGrange,Romance,0,1491749415
Wind and Dreams,Linda North,Romance,0,1939062160
The Italian,Ann Radcliffe,Romance,0,1494930722
Highlander Undone,Connie Brockway,Romance,0,B013K91434
It Dreams in Me (In Me Series),Kathleen O'Neal Gear,Romance,0,765350246
The Confessions of X,Suzanne M. Wolfe,Romance,0,718039610
The Breaking Dawn (The Kingdom of Mercia) (Volume 1),Jayne Castel,Romance,0,1511533889
Angels at the Gate,T.K. Thorne,Romance,0,390619602X
Icarus and the Wing Builder,Robert William Case,Romance,0,989477096
Highlander's Kiss (Clan Matheson) (Volume 1),Joanne Wadsworth,Romance,0,1517332788
To Tempt a Rake (Circle of Sin),Cara Elliott,Romance,0,446541303
It Wakes in Me (In Me Series),Kathleen O'Neal Gear,Romance,0,765350262
Daughter of Sand and Stone,Libbie Hawker,Romance,0,1503953955
A Knight To Call My Own,Sherry Ewing,Romance,0,990546276
People of the Lakes (First North Americans),Kathleen O'Neal Gear,Romance,0,312857225
The Guardian's Promise (Love Inspired Historical),Christina Rich,Romance,0,373282575
Worth,Shay Savage,Romance,0,1499579462
Her Roman Protector (Love Inspired Historical),Milinda Jay,Romance,0,373282532
Highland Echoes,Ceci Giltenan,Romance,0,1942623062
Highland Revenge (Fated Hearts) (Volume 1),Ceci Giltenan,Romance,0,1942623011
Reflections in the Nile,J. Suzanne Frank,Romance,0,446605794
If My Heart Could See You,Sherry Ewing,Romance,0,990546209
Captive on the High Seas (Love Inspired Historical),Christina Rich,Romance,0,373283210
Love in Ancient India,M. L. Varadpande,Romance,0,8183280501
To Bewitch a Highlander (Isle of Mull Series),Lily Baldwin,Romance,0,615790399
The Gladiator's Mistress (Champions of Rome),Jennifer D. Bokal,Romance,0,1503944581
Antonia,Brenda Jagger,Romance,0,1447226968
The Warrior's Way,Karah Quinney,Romance,0,989263835
Only for You,Sherry Ewing,Romance,0,099054625X
Harey,Arlene Webb,Romance,0,1613338252
The Colossus,Ranjiini Iyer,Romance,0,1938231856
The Sharp Hook of Love,Sherry Jones,Romance,0,1451684797
King and Goddess,Judith Tarr,Romance,0,B0157N4DCA
A Dance with Danger (Rebels and Lovers),Jeannie Lin,Romance,0,037329834X
The Sword Dancer (Rebels and Lovers),Jeannie Lin,Romance,0,373297424
"Woman of Sin, Book One in the Woman of Sin Trilogy",Debra B. Diaz,Romance,0,161314296X
One Life Well and Truly Promised,Richard D Parker,Romance,0,1507647514
Seduced by the Pharaoh,Sheniqua Waters,Romance,0,615827136
The Warrior (The Herod Chronicles),Wanda Ann Thomas,Romance,0,1493579045
Medieval Lays and Legends of Marie de France,Marie de France,Romance,0,486431371
The Beltane Choice,Nancy Jardine,Romance,0,1908910488
The Red Mirror (Red Mirror Series) (Volume 1),S. L. Gore,Romance,0,1940304008
Semiramis - Conquering Queen,G. J. Whyte-Melville,Romance,0,1499361742
Pharaoh's Secret Lover,Victoria Veritas,Romance,0,991644832
"Child of the King, Book Three in the Woman of Sin Trilogy",Debra B. Diaz,Romance,0,1613142986
The Bride Gift,Sarah Hegger,Romance,0,161935649X
"Man of God, Book Two in the Woman of Sin Trilogy",Debra B. Diaz,Romance,0,1613142978
The Viking,Marti Talbott,Romance,0,150292904X
Beloved Protector (Heartsong Presents),Darlene Mindrup,Romance,0,373487045
Claimed,Tarah Scott,Romance,0,692408622
Hand of Fire,Judith Starkston,Romance,0,1611792959
Foreign Bride,Helen Russell,Romance,0,1482746328
Shadows in the Shining City (Anthems of Al-andalus),John D. Cressler,Romance,0,162006345X
Immortal Champion (The Immortal Gladiator Series) (Volume 3),Kristin Secorsky,Romance,0,1507600577
The Shores of Bountiful,Loralee Evans,Romance,0,615864155
The Left Hand of Calvus (Warriors of Rome),L.A. Witt,Romance,0,1937551784
The Rover Betrayed (Viking Roots Medieval Romance Saga) (Volume 3),Anna Markland,Romance,0,1508914516
The Urpalians,Oron Ofek,Romance,0,9655502910
The Rover Defiant (Viking Roots Medieval Romance Saga) (Volume 2),Anna Markland,Romance,0,150542903X
There Be Dragons,Heather Graham,Romance,0,1605420719
Capture a Comely Woman,Ed Semon,Romance,0,1497439086
Lady of Horses,Judith Tarr,Romance,0,312861141
The Rock (Highland Guard),Monica McCarty,Romance,0,1501108786
The Huntress of Thornbeck Forest (A Medieval Fairy Tale),Melanie Dickerson,Romance,0,718026241
The Wolfe,Kathryn Le Veque,Romance,0,B00HZD4ZTM
Always,Lynsay Sands,Romance,0,62019562
Highlander The Dark Dragon (Macinnes Sisters Trilogy) (Volume 3),Donna Fletcher,Romance,0,1514692902
Highlander's Rebellious Love (Macinnes Sisters Trilogy) (Volume 2),Donna Fletcher,Romance,0,1507815794
The Price of Blood (The Emma of Normandy),Patricia Bracewell,Romance,0,8104603
The Highlander's Stolen Heart (The Macinnes Sisters) (Volume 1),Donna Fletcher,Romance,0,988365979
The Black Lyon,Jude Deveraux,Romance,0,038075911X
Come The Morning (Graham Clan),Heather Graham,Romance,0,1420136380
The Raider (Highland Guard),Monica McCarty,Romance,0,345543939
Serpent,Kathryn Le Veque,Romance,0,B00V8SI208
Never Love a Highlander (The Highlanders),Maya Banks,Romance,0,345519515
The King's Pleasure,Heather Graham,Romance,0,1420136348
Captured by a Laird (The Douglas Legacy),Margaret Mallory,Romance,0,990759903
To Desire a Highlander (Scandalous Scots),Sue-Ellen Welfonder,Romance,0,1455526282
Highland Barbarian,Hannah Howell,Romance,0,821779982
Highland Vow,Hannah Howell,Romance,0,1420114816
Beauty and the Beast,Hannah Howell,Romance,0,1420135694
Lady at Arms,Tamara Leigh,Romance,0,B00KGFCVNI
Elsbeth (The Daughters of Alastair MacDougall) (Volume 4),Lane McFarland,Romance,0,989876578
Highland Guard (The Murrays),Hannah Howell,Romance,0,1420135015
Rogue Knight (Medieval Warriors) (Volume 2),Regan Walker,Romance,0,1514198304
Walls of Babylon (De Wolfe Pack),Kathryn Le Veque,Romance,0,1517164478
Hearts Aflame (Haardrad Family),Johanna Lindsey,Romance,0,380899825
HIGHLAND HONOR,Hannah Howell,Romance,0,142012482X
Untamed (Medieval Trilogy),Elizabeth Lowell,Romance,0,1423332180
Highland Promise (The Murrays),Hannah Howell,Romance,0,1420114794
Heart of the Hunter (Dragon Chalice) (Volume 1),Lara Adrian,Romance,0,1511586435
Defy Not the Heart,Johanna Lindsey,Romance,0,380752999
The Handfasted Wife (The Daughters of Hastings Trilogy),Carol McGrath,Romance,0,1909520470
Highland Master (The Murrays),Hannah Howell,Romance,0,1420118811
Charming the Prince,Teresa Medeiros,Romance,0,553575023
Highland Lover,Hannah Howell,Romance,0,1420131818
The Hunger (Rogues of Scotland) (Volume 2),Donna Grant,Romance,0,991454294
Highland Warrior,Hannah Howell,Romance,0,1420111779
The Highlander's Bargain (The Novels of Loch Moigh),Barbara Longley,Romance,0,1477823921
Devil's Moon (Border Nights),Amanda Scott,Romance,0,1455556661
Cameron (The Daughters of Alastair MacDougall) (Volume 1),Lane McFarland,Romance,0,989876519
Conquered by the Highlander (Conquered Brides Series) (Volume 1),Eliza Knight,Romance,0,1515003779
Bound to the Highlander (The Highland Chiefs) (Volume 1),Kate Robbins,Romance,0,191023401X
Fire Song (Medieval Song Series),Catherine Coulter,Romance,0,1455830992
Highland Avenger (Murrays),Hannah Howell,Romance,0,142011879X
The Last Viking (Viking II),Sandra Hill,Romance,0,62019058
Once Upon a Kiss,Tanya Anne Crosby,Romance,0,B00FGF9KLE
Heart of the Flame,Lara Adrian,Romance,0,985419180
The Highlander's Folly (The Novels of Loch Moigh),Barbara Longley,Romance,0,1477821546
Highland Courage (Duncurra) (Volume 2),Ceci Giltenan,Romance,0,990487628
Cold My Heart (The Lion of Wales),Sarah Woodbury,Romance,0,1511890983
The Highlander's Temptation (The Stolen Bride Series) (Volume 7),Eliza Knight,Romance,0,1494864967
Guardian of Darkness,Kathryn Le Veque,Romance,0,B00JV2P16Q
To the Lady Born,Kathryn Le Veque,Romance,0,B00KLDZBFK
Highland Champion,Hannah Howell,Romance,0,1420128779
Persuasion (Dover Thrift Editions),Jane Austen,Romance,0,486295559
Jane Eyre (Hardcover Classics),Charlotte Bronte,Romance,0,141040386
Wildfire In His Arms,Johanna Lindsey,Romance,0,1501105418
Blackmoore (Proper Romances),Julianne Donaldson,Romance,0,1609074602
The Curiosity Keeper (A Treasures of Surrey Novel),Sarah E. Ladd,Romance,0,718011783
"Classics Reimagined, Pride and Prejudice",Jane Austen,Romance,0,1631590766
Not Always a Saint (Lost Lords),Mary Jo Putney,Romance,0,1420127179
Pride and Pleasure,Sylvia Day,Romance,0,758293607
Something Wonderful,Judith McNaught,Romance,0,671737635
Good Earl Gone Bad (The Lords of Anarchy),Manda Collins,Romance,0,1250061075
A Noble Masquerade (Hawthorne House),Kristi Ann Hunter,Romance,0,764214322
"Schaum's Outline of Intermediate Algebra, Second Edition (Schaum's Outlines)",Ray Steege,Romance,0,007162998X
Only Enchanting (Survivor's Club),Mary Balogh,Romance,0,451469666
"Yours Forevermore, Darcy",KaraLynne Mackrory,Romance,0,1681310007
The Secret of Pembrooke Park,Julie Klassen,Romance,0,764210718
The Last Waltz,Pat Santarsiero,Romance,0,1502595605
Once and Always,Judith McNaught,Romance,0,671737627
Tremaine's True Love (True Gentlemen),Grace Burrowes,Romance,0,1492621021
Devil's Cub (Historical Romances),Georgette Heyer,Romance,0,1402219539
Jane and the Twelve Days of Christmas (Being a Jane Austen Mystery),Stephanie Barron,Romance,0,1616955724
The Spring Bride (A Chance Sisters Romance),Anne Gracie,Romance,0,425259277
Mad About the Major,Elizabeth Boyle,Romance,0,62322915
A Little Thing Called Love,Cathy Maxwell,Romance,0,62407724
"The Devil in Winter (The Wallflowers, Book 3)",Lisa Kleypas,Romance,0,006056251X
The Arrangement,Mary Balogh,Romance,0,345535871
The Proposal (Survivor's Club),Mary Balogh,Romance,0,440245303
The Prince and I (The Oxenburg Princes),Karen Hawkins,Romance,0,147678597X
A Heart Revealed (Proper Romance),Josi S. Kilpack,Romance,0,1609079906
His Housekeeper's Christmas Wish (Lords of Disgrace),Louise Allen,Romance,0,373298579
The Escape (Survivor's Club),Mary Balogh,Romance,0,345536061
For Elise,Sarah M. Eden,Romance,0,1621087875
Almost Heaven,Judith McNaught,Romance,0,671742558
Longing,Mary Balogh,Romance,0,451469755
The Duke's Disaster,Grace Burrowes,Romance,0,1492605301
The Art of Sinning (The Sinful Suitors),Sabrina Jeffries,Romance,0,1476786062
If He's Noble (Wherlockes),Hannah Howell,Romance,0,1420135031
The Land Breakers,John Ehle,Romance,0,1590177630
Taming the Rake,Monica McCarty,Romance,0,991210433
Will's True Wish (True Gentlemen),Grace Burrowes,Romance,0,1492621080
"Dragonfly in Amber (Outlander, Book 2)",Diana Gabaldon,Romance,0,385335970
Voyager (Outlander),Diana Gabaldon,Romance,0,385302320
A Kingdom of Dreams,Judith McNaught,Romance,0,671737619
A Match for Marcus Cynster (Cynster Novels),Stephanie Laurens,Romance,0,778318346
"Darkfever (Fever Series, Book 1)",Karen Marie Moning,Romance,0,440240980
The Highlander Takes a Bride,Lynsay Sands,Romance,0,62273590
Deception of a Highlander,Madeline Martin,Romance,0,B014V35AG0
The Tempting of Thomas Carrick (Cynster Novels),Stephanie Laurens,Romance,0,077831782X
The Highwayman,Kerrigan Byrne,Romance,0,1250076056
"Spell of the Highlander (The Highlander Series, Book 7)",Karen Marie Moning,Romance,0,440240972
The Madness of Lord Ian Mackenzie (Mackenzies Series),Jennifer Ashley,Romance,0,425244466
"To Tame a Highland Warrior (Highlander, Book 2)",Karen Marie Moning,Romance,0,440234816
Scotsman of My Dreams,Karen Ranney,Romance,0,62337505
Scandal in Scotland (The Hurst Amulet),Karen Hawkins,Romance,0,150110702X
The Prince Who Loved Me (The Oxenburg Princes),Karen Hawkins,Romance,0,1451685246
"The Highlander's Touch (Highlander, Book 3)",Karen Marie Moning,Romance,0,440236525
An English Bride in Scotland (The Highland Brides),Lynsay Sands,Romance,0,61963119
To Marry a Scottish Laird,Lynsay Sands,Romance,0,62273574
Enraptured (Secrets of the Loch),Candace Camp,Romance,0,1476741107
Sweet Revenge,Lynsay Sands,Romance,0,62019813
Into the Dreaming (with bonus material) (Highlander),Karen Marie Moning,Romance,0,345535227
The Wedding,Julie Garwood,Romance,0,671871005
The Devil Wears Kilts (Scandalous Highlanders),Suzanne Enoch,Romance,0,1250041600
First Time with a Highlander (Sirens of the Scottish Borderlands),Gwyn Cready,Romance,0,1492601969
A Week to Be Wicked (Spindle Cove),Tessa Dare,Romance,0,62049879
The Duke's Perfect Wife (Mackenzies Series),Jennifer Ashley,Romance,0,425247104
Treasured (Secrets of the Loch),Candace Camp,Romance,0,1476741085
Waverley (Penguin Classics),Walter Scott,Romance,0,014043660X
Knight Triumphant,Heather Graham,Romance,0,1420136372
Devil of the Highlands (Historical Highlands),Lynsay Sands,Romance,0,006134477X
Cadha's Rogue (The Highland Renegades) (Volume 5),R.L. Syme,Romance,0,1517508347
Highland Steel (Guardians of the Stone Book 2),Tanya Anne Crosby,Romance,0,B00R55CU0G
The Hunter,Kerrigan Byrne,Romance,0,1250076064
Conquer the Night,Heather Graham,Romance,0,1420136399
Highland Surrender,Tracy Brogan,Romance,0,1612186963
Cast in Ice,Laura Landon,Romance,0,1937216667
Pride and Prejudice (Oxford World's Classics),Jane Austen,Romance,0,199535566
A Christmas Promise,Mary Balogh,Romance,0,440246342
Garden of Lies,Amanda Quick,Romance,0,051515606X
Tame a Wild Heart,Cynthia Woolf,Romance,0,B00NGXCWW2
"Married by Morning (Hathaways, Book 4)",Lisa Kleypas,Romance,0,312605382
"Love in the Afternoon (Hathaways, Book 5)",Lisa Kleypas,Romance,0,312605390
Meridon (Wildacre Trilogy),Philippa Gregory,Romance,0,743249313
Saving Grace (A Hearthfire Romance) (Volume 1),Michele Paige Holmes,Romance,0,1941145264
Marrying Christopher (A Hearthfire Romance),Michele Paige Holmes,Romance,0,1941145434
"Death at Bishop's Keep (Robin Paige Victorian Mysteries, No. 1)",Robin Paige,Romance,0,425164357
The Accidental Duchess,Madeline Hunter,Romance,0,515151319
"Tempt Me at Twilight (Hathaways, Book 3)",Lisa Kleypas,Romance,0,312949820
"Mine Till Midnight (The Hathaways, Book 1)",Lisa Kleypas,Romance,0,312949804
Rules for a Proper Governess (Mackenzies Series),Jennifer Ashley,Romance,0,425266036
"Total Surrender (Sin Brothers series, Book 4)",Rebecca Zanetti,Romance,0,1478959312
"Seduce Me at Sunrise (The Hathaways, Book 2)",Lisa Kleypas,Romance,0,312949812
Loving Helen (A Hearthfire Romance) (Volume 2),Michele Paige Holmes,Romance,0,1941145531
The Daring Exploits of a Runaway Heiress,Victoria Alexander,Romance,0,1420132288
In Search of Scandal (London Explorers),Susanne Lord,Romance,0,1492623504
Secret Promise,Marin McGinnis,Romance,0,1509203273
The Shocking Secret of a Guest at the Wedding,Victoria Alexander,Romance,0,1420132261
To Love and to Cherish (Victorian Trilogy),Patricia Gaffney,Romance,0,451405331
"A Wallflower Christmas (Wallflowers, Book 5)",Lisa Kleypas,Romance,0,312360738
Midnight Pleasures With a Scoundrel (Scoundrels of St. James),Lorraine Heath,Romance,0,61734004
The MacGregor's Lady (MacGregor Series),Grace Burrowes,Romance,0,1402268726
The Black Hawk (Berkley Sensation),Joanna Bourne,Romance,0,425244539
The Chef's Mail Order Bride (Wild West Frontier Brides) (Volume 1),Cindy Caldwell,Romance,0,1515387402
Forged by Desire (London Steampunk),Bec McMaster,Romance,0,1402291914
The Luckiest Lady in London,Sherry Thomas,Romance,0,425268888
Rule's Bride (Harlequin Feature Author),Kat Martin,Romance,0,373605935
Like a Flower in Bloom,Siri Mitchell,Romance,0,764210378
The Heiress Effect (The Brothers Sinister) (Volume 2),Courtney Milan,Romance,0,1490994718
A Talent for Trickery (The Thief-takers),Alissa Johnson,Romance,0,1492620505
The Husband List,Janet Evanovich,Romance,0,312651341
Sylvia's Lovers (Oxford World's Classics),Elizabeth Gaskell,Romance,0,199656738
Legend of the Highland Dragon (Highland Dragons),Isabel Cooper,Romance,0,1402284675
Once Upon a Tartan (MacGregor Series),Grace Burrowes,Romance,0,1402268696
Cast in Ruin,Laura Landon,Romance,0,1937216640
Lily in Bloom,Tammy Andresen,Romance,0,1513700189
Night of the Highland Dragon (Highland Dragons),Isabel Cooper,Romance,0,140228473X
The Christmas Token (Hardman Holidays) (Volume 2),Shanna Hatfield,Romance,0,1493763229
The Devious Debutante,Ursula LeCoeur,Romance,0,578166690
A Pirate's Wife For Me (The Governess Brides),Christina Dodd,Romance,0,996085920
Forevermore (Darkest London),Kristen Callihan,Romance,0,1455581704
Where the Horses Run (The Heroes of Heartbreak Creek),Kaki Warner,Romance,0,425263274
The Countess Conspiracy (Volume 3),Courtney Milan,Romance,0,1937248305
Of Silk and Steam (London Steampunk),Bec McMaster,Romance,0,1402291949
"Shades of Honor (Grayson Brothers, Book 1)",Wendy Lindstrom,Romance,0,B00EDQJIO6
Season of the Sun (Viking Novels),Catherine Coulter,Romance,0,451206487
El vikingo (Spanish Edition),Bobbi Smith,Romance,0,8466647988
The Viking's Woman,Heather Graham,Romance,0,440206707
Viking in Love,Sandra Hill,Romance,0,61673498
Viking Fire,Andrea R. Cooper,Romance,0,1440571228
Lord of Hawkfell Island (Viking Series),Catherine Coulter,Romance,0,515112305
The Highlander's Accidental Bride,Cathy MacRae,Romance,0,1619353733
Fires of Winter (Haardrad Family),Johanna Lindsey,Romance,0,380757478
Lust of the Vikings,Virginia Wade,Romance,0,1491270306
The Deepening Night,Jayne Castel,Romance,0,1495981894
Wanted By The Viking,Joanna Davis,Romance,0,1503307557
The Viking,Marti Talbott,Romance,0,1453722661
Enchantress Mine,Bertrice Small,Romance,0,451209737
Viking Myths - Stories of the Norse Gods and Goddesses,Unknown,Romance,0,1910075000
The Norse King's Daughter (Viking I),Sandra Hill,Romance,0,006167351X
A Tale of Two Vikings (Viking I),Sandra Hill,Romance,0,62019120
Horn of the Kraken,Stephen B Pearl,Romance,0,994024053
The Blue Viking (Viking I),Sandra Hill,Romance,0,62019015
"Lord of Fire, Lady of Ice",Michelle M. Pillow,Romance,0,B00GOA2JVS
The Bewitched Viking (Viking I),Sandra Hill,Romance,0,62019007
Come Back to Me,Josie Litton,Romance,0,553581643
On a Highland Shore,Kathleen Givens,Romance,0,1416509909
Lord of Raven's Peak (Viking Series),Catherine Coulter,Romance,0,515113514
"Truly, Madly Viking (Viking II)",Sandra Hill,Romance,0,62019147
Tamed By The Viking,Joanna Davis,Romance,0,1512246409
The Very Virile Viking (Viking II),Sandra Hill,Romance,0,62019201
The Reluctant Viking (Viking I),Sandra Hill,Romance,0,62019104
The Viking's Captive (Viking I),Sandra Hill,Romance,0,62019082
Viking's Prize,Tanya Anne Crosby,Romance,0,B00DP5QPBA
The Viking Takes a Knight (Viking I),Sandra Hill,Romance,0,61673501
The Marriage Medallion (Silhouette Special Edition 1567) (Viking Brides series),Christine Rimmer,Romance,0,037324567X
Captive Heart,Anita Gordon,Romance,0,515116998
Celtic Mann (Heart of the Battle Series) (Volume 3),Lexy Timms,Romance,0,1514373297
The Tarnished Lady (Viking I),Sandra Hill,Romance,0,62019139
Viking Passion,Flora Speer,Romance,0,843932430
The Man of Her Dreams,Leanne Burroughs,Romance,0,1942606036
Lord of Falcon Ridge,Catherine Coulter,Romance,0,515115843
Maiden and the Monster,Michelle M. Pillow,Romance,0,B00G2SK1WQ
The Viking's Daughter,Marti Talbott,Romance,0,1494841894
Lord of Fire and Ice,Mia Marlowe,Romance,0,1402261853
The Viking's Son (The Viking Series) (Volume 3),Marti Talbott,Romance,0,1508957487
Santa Viking,Sandra Hill,Romance,0,1611942179
Viking,Fabio,Romance,0,380770482
Viking Warrior (Leisure Historical Romance),Connie Mason,Romance,0,843957468
The Viking's Defiant Bride,Joanna Fulford,Romance,0,373295340
The Outlaw Viking (Viking I),Sandra Hill,Romance,0,62019090
The Pirate Bride (Viking I),Sandra Hill,Romance,0,62210440
VIking Mine,Joanna Davis,Romance,0,1508572070
Viking Thrall,Joanna Davis,Romance,0,1507628390
My Fair Viking,Sandra Hill,Romance,0,843949848
Beloved Viking (Lovegram historical romances),Betty Brooks,Romance,0,821744607
The Viking's Touch,Joanna Fulford,Romance,0,373296827
"The Viking's Heart (Harlequin Historical, 515)",Jacqueline Navin,Romance,0,373291159
The Captive,Joanne Rock,Romance,0,373795386
Viking!,Connie Mason,Romance,0,843944021
Viking Gold,Nadine Crenshaw,Romance,0,082174836X
Death Blow,Jianne Carlo,Romance,0,1940223598
Lord of the Wolves,Heather Graham,Romance,0,786200936
Saved by the Viking Warrior (Harlequin Historical),Michelle Styles,Romance,0,373298021
Alma vikinga (Spanish Edition),Nieves Hidalgo,Romance,0,8490700311
Danegeld,Susan Squires,Romance,0,1477837310
To Love a Warrior (Isle of Mull) (Volume 3),Lily Baldwin,Romance,0,1503350770
Immortal Outlaw (Immortal Brotherhood),Lisa Hendrix,Romance,0,425228347
"Farewell, My Denmark",Tina Peterson Scott,Romance,0,989158101
The Viking Warriors Collection,Jianne Carlo,Romance,0,1936751984
Until You,Mrs. Deborah E. Hammond,Romance,0,1511661267
Viking Ecstasy (Zebra books),Robin Gideon,Romance,0,821740628
The Viking's Bride (Heartsong Presents),Darlene Mindrup,Romance,0,373487673
Danelaw,Susan Squires,Romance,0,1477837329
A Cold Creek Christmas Story (Harlequin Special Edition),RaeAnne Thayne,Romance,0,373659253
The Amish Christmas Sleigh,Kelly Long,Romance,0,1496700139
Snowflake Bay (The Brides Of Blueberry Cove),Donna Kauffman,Romance,0,1420137476
Snow Angel Cove (Haven Point),RaeAnne Thayne,Romance,0,373779070
Falling Like Snowflakes (A Summer Harbor Novel),Denise Hunter,Romance,0,718023714
"Long, Tall Christmas (A Cowboy Christmas)",Janet Dailey,Romance,0,1420135090
The Christmas Wedding Ring,Susan Mallery,Romance,0,373788584
"Wedding Bells in Christmas (Christmas, Colorado)",Debbie Mason,Romance,0,1455587990
Bring Me Home for Christmas (A Virgin River Novel),Robyn Carr,Romance,0,778317633
